
iter	f	tx	ty	tz	rx	ry	rz	gtx	gty	gtz	grx	gry	grz
1 4534.11 1.41945e-008 -5.8413e-007 2.3198e-007 0.00295466 6.75646e-005 0.000411918 -0.757094 6.33162 -11.2673 373.595 -75.8482 -2666.47 
2 4533.37 1.68621e-007 -1.87678e-006 2.53025e-006 0.00288593 8.32026e-005 0.000956719 -1.30877 6.27126 -11.3352 37.2252 -2095.35 64.5726 
3 4533.34 1.96512e-007 -2.03634e-006 2.81686e-006 0.00288213 0.000116999 0.000981241 -0.979386 6.27655 -11.2909 -0.446392 0.393416 -0.394954 
4 4533.34 3.36065e-006 -2.23134e-005 3.92932e-005 0.00288342 0.000117089 0.000983426 -0.981287 6.25942 -11.2889 100.868 -4.68704 22.3441 
5 4533.34 9.68892e-006 -6.28675e-005 0.000112246 0.00288602 0.000117269 0.000987797 -0.985087 6.22517 -11.2851 303.497 -14.8482 67.8221 
6 4533.34 9.69154e-006 -6.28843e-005 0.000112276 0.00288602 0.000117269 0.000987799 -0.985089 6.22516 -11.2851 303.581 -14.8524 67.8409 
7 4533.34 9.69416e-006 -6.29011e-005 0.000112306 0.00288602 0.000117269 0.0009878 -0.985089 6.22516 -11.2851 303.571 -14.8513 67.8468 
8 4533.34 9.6994e-006 -6.29347e-005 0.000112367 0.00288602 0.000117269 0.000987803 -0.98509 6.22516 -11.2851 303.551 -14.8492 67.8585 
9 4533.34 9.70988e-006 -6.30018e-005 0.000112487 0.00288602 0.00011727 0.000987809 -0.985092 6.22517 -11.2851 303.511 -14.845 67.882 
10 4533.34 9.73085e-006 -6.31362e-005 0.000112729 0.00288602 0.000117271 0.000987821 -0.985095 6.22518 -11.2851 303.432 -14.8366 67.929 
11 4533.34 9.77277e-006 -6.34048e-005 0.000113212 0.00288601 0.000117273 0.000987845 -0.985102 6.2252 -11.2851 303.273 -14.8198 68.0229 
12 4533.34 9.85662e-006 -6.39422e-005 0.000114179 0.002886 0.000117278 0.000987893 -0.985116 6.22524 -11.2851 302.955 -14.7862 68.2108 
13 4533.34 1.00243e-005 -6.50168e-005 0.000116112 0.00288598 0.000117287 0.000987988 -0.985144 6.22533 -11.2851 302.32 -14.7191 68.5865 
14 4533.34 1.03597e-005 -6.71662e-005 0.000119979 0.00288594 0.000117305 0.000988179 -0.9852 6.2255 -11.2852 301.049 -14.5847 69.338 
15 4533.34 1.10305e-005 -7.14649e-005 0.000127712 0.00288585 0.000117342 0.000988562 -0.985312 6.22584 -11.2852 298.506 -14.316 70.841 
16 4533.34 1.23722e-005 -8.00623e-005 0.000143178 0.00288568 0.000117415 0.000989326 -0.985535 6.22652 -11.2853 293.422 -13.7786 73.847 
17 4533.34 1.50554e-005 -9.72572e-005 0.00017411 0.00288534 0.000117562 0.000990855 -0.985982 6.22788 -11.2855 283.252 -12.7039 79.859 
18 4533.34 2.04219e-005 -0.000131647 0.000235974 0.00288466 0.000117854 0.000993912 -0.986876 6.23061 -11.2858 262.913 -10.5545 91.8829 
19 4533.33 3.11548e-005 -0.000200426 0.000359703 0.00288331 0.00011844 0.00100003 -0.988665 6.23607 -11.2865 222.236 -6.25578 115.931 
20 4533.33 5.26207e-005 -0.000337985 0.00060716 0.00288059 0.000119612 0.00101226 -0.992242 6.24698 -11.2879 140.88 2.34074 164.027 
21 4533.33 9.55525e-005 -0.000613102 0.00110207 0.00287517 0.000121954 0.00103672 -0.999397 6.26881 -11.2906 -21.8347 19.5304 260.219 
22 4533.33 0.000106407 -0.000682663 0.00122721 0.00287379 0.000122547 0.0010429 -1.00121 6.27433 -11.2913 -62.976 23.876 284.541 
23 4533.33 0.000117273 -0.000752292 0.00135247 0.00287379 0.00012262 0.0010429 -1.0004 6.27423 -11.291 -62.2439 29.0205 284.201 
24 4533.32 0.000139005 -0.00089155 0.00160298 0.00287378 0.000122767 0.0010429 -0.998787 6.27403 -11.2903 -60.7796 39.3096 283.521 
25 4533.32 0.000182469 -0.00117007 0.00210401 0.00287377 0.000123061 0.00104291 -0.99556 6.27363 -11.2888 -57.8511 59.8878 282.16 
26 4533.3 0.000269398 -0.0017271 0.00310606 0.00287374 0.000123648 0.00104291 -0.989107 6.27282 -11.286 -51.994 101.044 279.44 
27 4533.27 0.000443254 -0.00284116 0.00511018 0.00287368 0.000124823 0.00104293 -0.976201 6.27122 -11.2804 -40.2799 183.357 274 
28 4533.21 0.000790966 -0.00506929 0.0091184 0.00287356 0.000127173 0.00104295 -0.950389 6.268 -11.2691 -16.8517 347.983 263.119 
29 4533.1 0.00148639 -0.00952555 0.0171349 0.00287333 0.000131873 0.00104301 -0.898765 6.26158 -11.2465 30.005 677.233 241.357 
30 4532.87 0.00287724 -0.0184381 0.0331678 0.00287286 0.000141273 0.00104312 -0.795517 6.24872 -11.2013 123.719 1335.73 197.831 
31 4532.43 0.00565894 -0.0362631 0.0652336 0.00287192 0.000160072 0.00104334 -0.589019 6.22301 -11.111 311.149 2652.72 110.774 
